,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
159,Nuernberg,Hamburger SV,8,11,3,3,0.7,0.83,0.51,0.49,6,8,18,24,0.34,0.66,1,1
160,VfB Stuttgart,Bayern Munich,5,13,2,4,0.65,0.83,0.45,0.55,5,9,17,8,0.34,0.66,0,2
161,Borussia Dortmund,Nuernberg,19,7,9,4,0.91,0.69,0.5,0.5,14,12,25,16,0.71,0.29,3,0
162,Bayer Leverkusen,Eintracht Frankfurt,22,11,6,1,0.74,0.82,0.59,0.41,9,11,22,22,0.46,0.54,3,1
163,Augsburg,Schalke 04,14,11,4,4,0.78,0.7,0.49,0.51,9,14,22,26,0.56,0.44,0,0
164,Eintracht Frankfurt,Hoffenheim,16,12,6,5,0.75,0.72,0.47,0.53,6,7,18,25,0.51,0.49,2,1
165,Bayern Munich,Greuther Fuerth,22,5,5,1,0.89,0.72,0.73,0.27,17,14,14,23,0.76,0.24,2,0
166,Freiburg,Bayer Leverkusen,13,16,4,2,0.78,0.73,0.45,0.55,26,9,31,36,0.54,0.46,0,0
167,Greuther Fuerth,Mainz 05,10,11,4,8,0.75,0.84,0.46,0.54,6,13,31,27,0.42,0.58,0,3
168,Hannover 96,Wolfsburg,5,26,3,10,0.63,0.87,0.41,0.59,4,19,17,15,0.29,0.71,2,1
169,Borussia,Fortuna,9,14,4,3,0.84,0.8,0.55,0.45,18,2,17,22,0.58,0.42,2,1
170,Hamburger SV,Werder Bremen,9,14,4,6,0.77,0.62,0.51,0.49,9,12,11,25,0.55,0.45,3,2
171,Bayer Leverkusen,Borussia Dortmund,27,12,8,7,0.8,0.71,0.57,0.43,21,7,22,36,0.6,0.4,2,3
172,Mainz 05,Bayern Munich,10,10,0,6,0.78,0.86,0.33,0.67,9,7,27,17,0.35,0.65,0,3
173,Nuernberg,Borussia,10,12,5,6,0.7,0.83,0.43,0.57,3,20,33,24,0.34,0.66,2,1
174,Fortuna,VfB Stuttgart,12,7,5,4,0.72,0.86,0.5,0.5,9,20,27,25,0.3,0.7,3,1
175,Werder Bremen,Hannover 96,29,6,13,3,0.83,0.75,0.6,0.4,25,14,27,17,0.56,0.44,2,0
176,Hoffenheim,Freiburg,9,9,3,5,0.6,0.82,0.52,0.48,15,24,39,18,0.35,0.65,2,1
177,Wolfsburg,Augsburg,10,10,6,4,0.75,0.78,0.56,0.44,15,10,15,19,0.52,0.48,1,1
178,Schalke 04,Greuther Fuerth,25,9,4,5,0.82,0.68,0.49,0.53,23,10,25,25,0.69,0.31,1,2
179,Hamburger SV,Eintracht Frankfurt,23,16,10,6,0.85,0.75,0.43,0.57,9,6,13,22,0.63,0.37,0,2
180,Augsburg,Mainz 05,19,9,7,3,0.78,0.7,0.37,0.63,14,8,21,26,0.58,0.42,1,1
181,Bayern Munich,Schalke 04,16,4,7,0,0.93,0.76,0.59,0.41,16,5,15,25,0.69,0.31,4,0
182,Borussia Dortmund,Hamburger SV,21,14,7,5,0.78,0.74,0.62,0.38,8,20,28,36,0.56,0.44,1,4
183,Borussia,Bayer Leverkusen,10,23,5,10,0.75,0.79,0.46,0.54,11,15,31,19,0.5,0.5,3,3
184,Freiburg,Fortuna,15,11,3,4,0.81,0.66,0.39,0.61,18,12,28,35,0.64,0.36,1,0
185,Greuther Fuerth,Wolfsburg,16,10,3,2,0.67,0.74,0.41,0.59,14,16,25,30,0.49,0.51,0,1
186,Wolfsburg,Bayern Munich,8,7,1,3,0.74,0.84,0.32,0.68,9,11,29,23,0.41,0.59,0,2
187,VfB Stuttgart,Werder Bremen,10,18,3,7,0.76,0.63,0.5,0.5,7,11,15,21,0.6,0.4,1,4
188,Mainz 05,Schalke 04,14,12,5,5,0.77,0.74,0.36,0.64,20,6,19,15,0.51,0.49,2,2
