,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
52,Volga Nyzhny,Terek Grozny,12,14,1,4,72,76,33,67,6,5,16,27,47,53,1,0
53,Ural,Dinamo Moscow,5,13,2,5,80,88,53,47,3,5,10,17,37,63,1,4
54,CSKA Moscow,Amkar,15,4,7,2,81,69,42,58,4,1,11,22,62,38,2,1
55,Volga Nyzhny,Spartak Moscow,13,15,3,8,76,80,52,48,4,4,20,18,42,58,0,1
56,FC Krasnodar,Volga Nyzhny,18,14,4,6,84,77,35,65,2,4,15,26,50,50,3,0
57,Zenit St.Petersburg,Terek Grozny,16,14,5,3,79,82,56,46,6,7,18,16,52,48,2,0
58,Krylya Sovetov Samara,Kuban Krasnodar,8,13,3,1,66,73,31,69,3,8,16,16,46,54,0,0
59,Volga Nyzhny,Anzhi Makhachkala,6,21,3,10,71,76,65,35,3,6,14,14,49,51,2,1
60,Spartak Moscow,Tom Tomsk,16,7,6,4,85,60,48,52,12,3,22,14,71,29,2,1
61,Dinamo Moscow,FC Rostov,17,9,4,5,80,73,42,58,0,9,16,11,57,43,1,1
62,Terek Grozny,Anzhi Makhachkala,24,9,6,3,81,63,49,50,3,5,21,27,67,33,1,1
63,Ural,Rubin Kazan,11,15,2,7,80,84,32,68,4,3,9,20,46,54,0,3
64,Kuban Krasnodar,Terek Grozny,16,13,4,7,73,77,50,50,10,6,19,22,39,61,3,1
65,Terek Grozny,CSKA Moscow,11,10,6,1,71,81,73,27,6,6,28,24,33,67,2,0
66,Spartak Moscow,FC Krasnodar,11,11,6,4,77,71,50,50,7,8,20,18,52,48,3,2
67,Volga Nyzhny,Kuban Krasnodar,14,14,5,4,72,80,36,64,3,4,15,13,46,54,1,0
68,Dinamo Moscow,Lokomotiv Moscow,11,14,4,4,79,74,34,66,3,3,15,22,54,46,1,3
69,Rubin Kazan,Dinamo Moscow,14,12,5,3,80,80,40,60,3,7,11,10,50,50,2,2
70,Zenit St.Petersburg,Spartak Moscow,12,15,7,2,71,82,64,36,9,5,17,29,40,60,4,2
71,Krylya Sovetov Samara,Ural,19,14,6,5,83,71,39,61,7,5,13,24,58,42,1,1
72,Tom Tomsk,Volga Nyzhny,11,6,5,0,71,76,46,54,2,2,17,13,43,57,1,0
73,Volga Nyzhny,Amkar,9,11,2,2,69,72,43,57,4,4,10,15,52,48,0,2
74,Kuban Krasnodar,Amkar,11,9,4,4,76,73,47,53,6,2,17,16,50,50,0,3
75,Ural,Lokomotiv Moscow,5,24,1,9,66,90,29,71,2,4,16,15,29,71,0,3
76,CSKA Moscow,Dinamo Moscow,13,12,5,7,80,82,25,75,4,4,15,15,50,50,0,2
77,Spartak Moscow,CSKA Moscow,15,9,9,3,83,73,36,64,8,0,20,20,62,38,3,0
78,Anzhi Makhachkala,Amkar,14,15,3,7,61,75,43,57,12,8,25,24,38,62,2,2
79,Krylya Sovetov Samara,Lokomotiv Moscow,11,21,2,6,66,79,45,55,5,8,16,25,37,63,2,2
80,FC Rostov,Zenit St.Petersburg,8,19,1,7,71,86,65,35,2,14,20,10,34,66,0,4
81,Dinamo Moscow,Krylya Sovetov Samara,18,8,8,0,81,84,41,59,6,10,19,14,52,48,2,0
82,Kuban Krasnodar,FC Rostov,18,20,3,4,73,75,48,52,3,7,16,23,50,50,2,2
83,Rubin Kazan,Tom Tomsk,14,11,4,4,80,76,54,46,1,7,16,19,53,47,1,2
84,FC Krasnodar,Rubin Kazan,12,19,4,7,61,81,43,57,5,4,18,25,27,73,1,0
85,Spartak Moscow,Terek Grozny,14,5,4,1,82,70,43,57,15,10,25,18,65,35,0,0
86,Terek Grozny,FC Krasnodar,16,4,1,3,77,63,48,52,12,6,22,23,64,36,0,1
87,FC Rostov,Ural,7,12,3,5,80,67,55,45,11,3,20,22,66,34,1,1
88,Rubin Kazan,Anzhi Makhachkala,18,6,9,3,87,78,60,40,4,4,18,18,60,40,5,1
89,Amkar,FC Rostov,12,5,3,2,67,74,53,47,8,9,18,13,41,59,1,0
90,Lokomotiv Moscow,Tom Tomsk,8,10,4,1,80,57,54,46,6,3,16,15,66,34,0,0
91,Tom Tomsk,Zenit St.Petersburg,17,12,3,4,75,85,42,58,4,5,12,12,35,65,0,3
92,CSKA Moscow,Anzhi Makhachkala,22,4,7,1,83,47,40,60,3,1,16,33,71,29,0,0
93,Ural,FC Krasnodar,11,15,5,6,75,80,52,48,14,5,16,26,40,60,0,2
94,Krylya Sovetov Samara,Zenit St.Petersburg,8,23,4,9,80,85,27,73,6,8,20,15,43,57,1,4
95,Krylya Sovetov Samara,Dinamo Moscow,9,18,4,8,79,75,32,68,3,6,25,24,51,49,1,2
96,Anzhi Makhachkala,Spartak Moscow,11,12,3,7,56,76,46,54,4,4,18,14,36,64,0,1
97,Anzhi Makhachkala,Volga Nyzhny,15,13,4,7,75,72,50,50,5,2,22,23,50,50,0,0
98,Volga Nyzhny,Rubin Kazan,12,22,4,8,77,81,39,61,4,5,17,13,45,55,2,1
99,FC Krasnodar,Kuban Krasnodar,16,10,4,4,68,76,62,38,4,3,23,26,45,55,1,2
100,Kuban Krasnodar,Volga Nyzhny,23,15,8,2,81,78,46,54,5,5,19,22,54,46,4,0
101,Dinamo Moscow,Kuban Krasnodar,13,8,5,4,84,63,56,44,3,5,19,14,64,36,3,1
102,Zenit St.Petersburg,FC Rostov,12,13,3,2,80,76,44,56,7,10,25,24,57,43,0,2
103,Zenit St.Petersburg,CSKA Moscow,15,21,8,8,83,80,62,38,8,13,21,24,53,47,2,0
104,FC Rostov,Rubin Kazan,11,9,2,3,70,64,50,50,7,3,17,20,56,44,0,0
