,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
77,Twente,NEC Nijmegen,16,11,3,4,77,79,55,45,11,17,25,24,49,51,1,0
78,SC Heerenveen,Roda,19,5,11,1,79,54,54,46,13,3,14,20,67,33,3,0
79,FC Groningen,PEC Zwolle,7,20,3,3,75,83,53,47,3,10,13,13,42,58,2,0
80,Willem II,Excelsior,15,14,4,6,75,56,59,41,3,7,20,15,62,38,2,3
81,Excelsior,Feyenoord,13,19,4,7,74,83,32,68,17,10,18,24,42,58,2,4
82,Ajax,Roda,23,5,11,2,85,69,54,46,26,2,21,16,65,35,6,0
83,PEC Zwolle,Heracles,24,11,7,4,83,64,38,62,6,10,15,21,61,39,1,1
84,Twente,Willem II,17,14,6,6,71,63,44,56,15,3,26,39,58,42,1,3
85,NEC Nijmegen,Feyenoord,11,17,8,6,77,75,45,55,10,9,26,13,48,52,3,1
86,Excelsior,Vitesse,15,15,6,4,74,85,50,50,12,10,25,21,32,68,0,3
87,Cambuur,NEC Nijmegen,9,7,4,1,75,70,38,62,6,2,13,29,54,46,3,1
88,Vitesse,NEC Nijmegen,13,11,2,4,82,69,43,57,14,10,13,29,59,41,1,0
89,PSV Eindhoven,FC Utrecht,15,15,7,6,84,84,65,35,5,12,18,17,49,51,3,1
90,Ajax,De Graafschap,19,15,10,3,85,70,44,56,11,4,18,16,65,35,2,1
91,De Graafschap,PSV Eindhoven,19,24,10,14,68,88,55,45,10,14,14,17,37,63,3,6
92,PSV Eindhoven,Roda,17,6,3,1,83,64,53,47,7,6,11,30,66,34,1,1
93,SC Heerenveen,Feyenoord,7,12,3,7,77,86,41,59,12,8,15,15,43,57,2,5
94,PEC Zwolle,Ajax,13,24,3,7,67,79,67,33,4,9,26,10,44,56,0,2
95,Cambuur,FC Groningen,11,10,6,4,70,79,39,61,3,5,12,13,43,57,2,2
96,Twente,Heracles,10,10,7,4,77,83,48,52,11,6,19,20,41,59,4,0
97,ADO Den Haag,Feyenoord,7,13,1,7,76,84,71,29,4,5,13,16,38,62,1,0
98,ADO Den Haag,Willem II,13,4,5,2,58,83,52,48,3,3,7,7,30,70,1,1
99,ADO Den Haag,De Graafschap,15,13,7,2,79,62,58,42,12,5,17,17,64,36,1,1
100,FC Groningen,ADO Den Haag,14,12,4,3,81,65,33,67,5,6,9,13,61,39,2,1
101,Feyenoord,Ajax,11,10,5,2,71,74,58,42,3,4,33,10,49,51,1,1
102,Cambuur,Vitesse,12,15,2,6,77,73,64,36,13,9,28,16,57,43,0,2
103,SC Heerenveen,Cambuur,17,6,4,1,69,73,59,41,7,7,19,21,43,57,2,0
104,FC Utrecht,Ajax,10,7,4,1,74,86,60,40,6,9,25,22,36,64,1,0
105,PEC Zwolle,Vitesse,17,23,4,13,78,88,63,37,12,9,17,17,39,61,1,5
106,FC Utrecht,Heracles,10,15,6,4,77,81,55,45,14,5,20,18,46,54,4,2
107,Vitesse,AZ Alkmaar,8,14,0,6,81,81,67,33,10,10,18,23,50,50,0,2
108,PEC Zwolle,SC Heerenveen,20,12,8,5,78,69,43,57,8,3,22,19,56,44,5,2
109,FC Utrecht,Twente,15,16,6,6,77,77,62,38,9,6,19,18,51,49,4,2
110,PEC Zwolle,AZ Alkmaar,14,14,4,3,83,83,41,59,10,4,10,16,50,50,2,1
111,PEC Zwolle,FC Utrecht,10,10,4,5,83,77,58,42,9,8,15,26,56,44,1,2
112,PSV Eindhoven,AZ Alkmaar,18,9,5,2,85,77,69,31,2,6,9,17,54,46,3,0
113,AZ Alkmaar,SC Heerenveen,14,15,8,3,77,73,38,62,8,8,15,14,54,46,3,1
114,Roda,AZ Alkmaar,20,6,4,3,85,66,62,38,15,7,13,23,68,32,0,1
115,AZ Alkmaar,NEC Nijmegen,17,12,6,6,81,71,46,54,3,9,14,24,57,43,2,4
116,FC Groningen,Feyenoord,15,11,5,3,75,79,52,48,8,5,16,18,49,51,1,1
117,Willem II,SC Heerenveen,7,23,4,9,73,71,38,62,6,9,22,13,50,50,2,2
118,AZ Alkmaar,ADO Den Haag,12,15,2,6,81,76,43,57,9,7,18,21,59,41,0,1
119,Roda,PEC Zwolle,18,11,5,8,82,73,44,56,4,3,13,20,64,36,0,5
120,De Graafschap,Excelsior,9,10,4,2,70,72,50,50,8,4,21,13,49,51,2,0
121,Feyenoord,PSV Eindhoven,12,13,2,5,79,68,67,33,12,6,20,19,61,39,0,2
122,Heracles,Vitesse,14,16,5,3,69,78,21,79,3,7,22,20,48,52,1,1
123,De Graafschap,Heracles,16,18,3,5,62,80,42,58,4,8,10,12,38,62,0,1
124,Excelsior,Twente,13,12,3,5,81,76,43,57,12,10,24,14,49,51,1,1
125,Ajax,Cambuur,14,7,8,1,88,80,68,32,10,8,14,19,55,45,5,1
126,ADO Den Haag,Ajax,15,12,2,4,74,81,44,56,0,15,18,13,42,58,0,1
127,FC Groningen,FC Utrecht,11,17,6,11,77,82,55,45,6,13,22,11,49,51,1,4
128,Vitesse,Twente,11,13,6,4,83,79,55,45,9,12,29,23,58,42,5,1
129,Twente,PSV Eindhoven,6,17,4,5,69,85,37,63,7,6,12,17,34,66,1,3
130,De Graafschap,FC Utrecht,7,12,2,5,74,74,45,55,6,11,22,15,51,49,0,1
131,Willem II,PSV Eindhoven,8,12,3,5,71,76,62,38,5,10,24,10,47,53,2,2
132,NEC Nijmegen,Willem II,10,13,4,3,68,83,41,59,6,8,18,16,40,60,1,0
133,Willem II,Roda,13,12,7,4,76,61,52,48,1,9,17,15,58,42,3,2
134,Roda,Excelsior,12,11,4,3,76,67,54,46,2,7,19,13,59,41,1,2
135,Vitesse,PSV Eindhoven,17,18,4,6,82,73,39,61,7,8,22,21,55,45,0,1
136,De Graafschap,FC Groningen,25,9,7,4,67,80,54,46,2,5,17,24,43,57,1,2
137,FC Groningen,NEC Nijmegen,13,13,2,3,73,68,49,51,8,7,24,17,53,47,0,0
138,Heracles,FC Groningen,18,9,3,4,79,71,43,57,12,7,15,27,54,46,2,1
139,Cambuur,ADO Den Haag,15,10,9,4,77,69,43,57,11,9,18,23,57,43,1,1
140,Ajax,SC Heerenveen,22,14,12,7,86,70,52,48,13,4,14,33,65,35,5,2
141,Heracles,Excelsior,15,15,4,5,74,67,47,53,8,10,21,19,57,43,0,0
142,Heracles,De Graafschap,15,13,4,3,79,71,55,45,11,4,11,16,54,46,2,1
143,PSV Eindhoven,PEC Zwolle,16,20,7,9,86,67,61,39,7,5,7,15,63,37,3,2
144,Vitesse,Ajax,13,12,5,7,80,80,46,54,13,15,25,13,48,52,1,3
145,Willem II,Cambuur,13,6,7,2,64,71,49,51,5,8,28,17,43,57,3,0
146,Feyenoord,Twente,23,9,10,3,87,74,64,36,13,17,25,19,64,36,5,0
147,Ajax,Vitesse,13,9,6,4,71,83,44,56,19,11,32,30,37,63,1,0
