Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
213,AZ Alkmaar,ADO Den Haag,17,14,9,3,76,72,33,67,17,8,14,22,51,49,3,1
214,PEC Zwolle,Excelsior,26,7,7,2,84,67,42,58,10,4,16,12,70,30,1,1
215,Go Ahead Eagles,PSV Eindhoven,8,14,2,10,75,84,44,56,1,11,16,13,41,59,0,3
216,Excelsior,FC Groningen,19,13,6,3,79,88,75,25,4,6,15,17,39,61,1,1
217,Excelsior,AZ Alkmaar,9,16,1,10,78,74,27,73,9,8,16,14,58,42,1,4
218,NAC Breda,Feyenoord,5,10,1,4,67,84,48,52,8,5,26,24,32,68,0,1
219,PSV Eindhoven,SC Heerenveen,18,11,7,5,84,81,47,53,16,10,22,22,53,47,4,1
220,PEC Zwolle,Willem II,19,3,6,1,74,79,46,54,4,8,16,18,48,52,1,0
221,FC Groningen,FC Dordrecht,15,15,11,3,64,66,50,50,7,6,18,19,49,51,2,0
222,Vitesse,Willem II,24,3,9,0,79,76,33,67,10,10,29,17,56,44,2,0
223,Heracles,Go Ahead Eagles,9,13,5,3,84,87,50,50,6,9,30,20,49,51,1,0
224,Excelsior,Ajax,13,10,4,4,69,88,35,65,4,2,25,17,33,67,0,2
225,Vitesse,FC Dordrecht,14,5,5,1,79,71,52,48,7,5,21,15,56,44,3,0
226,Vitesse,FC Groningen,23,13,9,7,81,68,44,56,14,9,30,29,59,41,1,1
227,Feyenoord,NAC Breda,16,6,6,0,84,70,39,61,8,9,21,14,63,37,3,0
228,ADO Den Haag,NAC Breda,26,11,10,5,85,61,49,51,9,6,16,15,71,29,3,2
229,Vitesse,FC Utrecht,23,11,5,4,87,79,72,28,13,10,21,28,65,35,3,3
230,Twente,Willem II,15,8,6,2,78,74,51,49,11,7,16,19,52,48,3,2
231,Willem II,FC Groningen,17,14,6,7,78,72,55,45,3,6,10,18,57,43,1,4
232,SC Heerenveen,NAC Breda,14,9,3,2,83,68,71,29,18,6,18,28,66,34,0,0
233,Ajax,Excelsior,15,6,3,3,91,68,53,47,16,6,21,29,68,32,1,0
234,Cambuur,SC Heerenveen,12,14,4,6,60,70,53,47,10,22,25,20,45,55,2,1
235,ADO Den Haag,PSV Eindhoven,14,19,6,8,79,84,53,47,4,10,25,13,44,56,2,3
236,Ajax,FC Groningen,12,10,4,2,86,82,55,45,16,8,20,21,53,47,2,0
237,Feyenoord,Go Ahead Eagles,20,13,7,5,83,70,51,49,7,0,26,19,63,37,0,1
238,FC Dordrecht,Heracles,11,23,5,9,75,66,37,63,13,15,20,20,55,45,2,3
239,FC Utrecht,FC Dordrecht,25,9,12,4,64,66,64,36,8,6,15,22,47,53,6,1
240,PEC Zwolle,NAC Breda,20,8,7,3,88,75,56,44,10,4,19,18,63,37,4,1
241,Heracles,PEC Zwolle,19,12,7,4,80,83,52,48,13,6,18,20,50,50,2,0
242,Twente,PSV Eindhoven,9,21,4,10,83,90,14,86,3,10,23,21,42,58,0,5
243,PEC Zwolle,Go Ahead Eagles,11,9,3,3,81,71,33,67,13,3,17,26,58,42,0,1
244,AZ Alkmaar,FC Dordrecht,16,10,7,1,66,52,52,48,12,7,25,37,61,39,2,0
245,Ajax,NAC Breda,19,7,6,3,89,75,54,46,22,12,15,23,68,32,0,0
246,FC Utrecht,Ajax,13,9,5,2,74,76,48,52,7,10,36,21,47,53,1,1
247,Ajax,Twente,14,14,11,7,81,79,53,47,15,17,33,27,59,41,4,2
248,ADO Den Haag,Cambuur,11,10,4,5,68,86,67,33,5,4,14,24,28,72,2,2
249,FC Utrecht,Twente,13,21,6,8,83,79,53,47,6,16,32,13,47,53,1,0
250,AZ Alkmaar,Feyenoord,10,20,0,9,80,80,39,61,16,7,27,25,51,49,1,4
251,NAC Breda,Cambuur,15,14,4,4,58,75,51,49,19,12,27,25,36,64,2,1
252,Vitesse,PSV Eindhoven,33,12,7,4,82,71,42,58,5,9,27,17,61,39,0,1
253,ADO Den Haag,Vitesse,10,11,6,1,75,80,57,43,12,5,15,16,45,55,1,0
254,Excelsior,ADO Den Haag,11,9,4,3,75,78,51,49,10,4,19,23,42,58,2,3
255,ADO Den Haag,PEC Zwolle,14,11,9,5,82,79,64,36,7,10,21,9,51,49,3,2
256,Willem II,Go Ahead Eagles,17,7,6,2,82,68,50,50,11,1,16,14,51,49,1,0
257,SC Heerenveen,Willem II,15,16,4,6,70,80,50,50,7,12,25,14,48,52,1,1
258,Cambuur,Go Ahead Eagles,20,9,3,5,87,61,37,63,13,3,10,19,69,31,1,0
259,Go Ahead Eagles,AZ Alkmaar,15,20,1,9,74,66,52,48,4,11,15,19,57,43,0,2
260,FC Utrecht,SC Heerenveen,27,8,9,5,76,64,54,46,8,4,26,20,61,39,1,2
261,NAC Breda,Heracles,20,10,8,4,76,68,46,54,10,9,21,21,56,44,1,3
262,PSV Eindhoven,PEC Zwolle,30,8,17,4,84,79,61,39,11,4,15,24,53,47,3,1
263,PSV Eindhoven,FC Dordrecht,19,6,7,1,87,68,37,63,10,7,21,20,69,31,3,0
264,Feyenoord,Twente,15,13,6,3,83,76,68,32,5,7,22,16,52,48,3,1
265,Go Ahead Eagles,FC Utrecht,16,11,8,9,75,77,53,47,4,8,21,24,45,55,0,2
266,Excelsior,Vitesse,8,20,4,7,68,85,46,54,5,15,23,27,37,63,1,3
267,Heracles,FC Utrecht,11,13,2,3,66,83,38,62,12,7,23,25,35,65,1,1
268,Heracles,Excelsior,19,17,4,5,81,63,43,57,8,7,14,22,69,31,0,3
269,Excelsior,PSV Eindhoven,15,16,4,9,78,85,41,59,7,6,16,14,46,54,2,3
270,Willem II,Ajax,17,9,4,3,71,82,28,72,5,6,26,23,40,60,1,1
271,Twente,Heracles,17,9,4,3,80,68,66,34,7,11,19,34,60,40,2,0
