,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
237,Istanbul Basaksehir,Akhisar Belediyespor,16,10,6,4,82,78,46,54,8,7,19,13,53,47,4,0
238,Konyaspor,Mersin,11,12,2,5,78,75,54,46,8,6,19,17,54,46,2,0
239,Mersin,Eskisehirspor,14,15,5,5,82,82,48,52,2,4,14,16,53,47,4,2
240,Besiktas,Kasimpasa,7,14,4,4,76,71,54,46,6,3,25,21,53,47,2,0
241,Karabukspor,Trabzonspor,9,9,3,4,74,71,44,56,1,5,17,12,46,54,3,0
242,Sivasspor,Kayseri Erciyesspor,20,9,5,2,77,82,59,41,0,1,12,16,46,54,1,1
243,Besiktas,Fenerbahce,8,10,8,6,77,81,62,38,10,12,15,26,48,52,0,2
244,Galatasaray,Trabzonspor,14,23,4,12,80,75,52,48,6,7,12,12,57,43,0,3
245,Kasimpasa,Gaziantepspor,23,10,14,5,82,80,52,48,7,3,24,16,54,46,4,2
246,Eskisehirspor,Istanbul Basaksehir,7,8,2,3,81,71,60,40,5,4,5,9,64,36,0,1
247,Konyaspor,Karabukspor,7,8,1,1,83,78,56,44,2,4,19,15,56,44,1,0
248,Konyaspor,Gaziantepspor,13,12,5,4,85,77,52,48,4,12,20,18,58,42,2,0
249,Mersin,Bursaspor,12,19,5,7,66,75,63,37,4,6,13,17,45,55,2,1
250,Rizespor,Karabukspor,10,12,2,6,72,68,62,38,7,2,11,16,61,39,0,3
251,Rizespor,Kayseri Erciyesspor,10,19,2,9,56,82,58,42,2,2,15,9,31,69,1,1
252,Akhisar Belediyespor,Mersin,15,9,6,3,67,67,50,50,4,7,14,17,47,53,1,1
253,Fenerbahce,Konyaspor,10,21,5,8,79,79,50,50,6,1,13,9,53,47,2,1
254,Istanbul Basaksehir,Balikesirspor,31,7,11,3,85,65,41,59,2,5,13,20,66,34,1,0
255,Galatasaray,Kasimpasa,10,11,3,4,79,67,37,63,3,8,21,12,58,42,2,1
256,Balikesirspor,Sivasspor,10,14,3,6,75,75,63,37,10,7,15,23,40,60,1,3
257,Kayseri Erciyesspor,Galatasaray,13,20,3,7,73,88,37,63,9,6,17,15,34,66,1,2
258,Trabzonspor,Rizespor,11,14,7,6,76,72,47,53,4,6,19,19,53,47,3,2
259,Akhisar Belediyespor,Trabzonspor,12,11,2,4,74,70,54,46,3,5,15,21,48,52,1,1
260,Eskisehirspor,Kayseri Erciyesspor,19,9,10,1,80,69,60,40,3,3,11,10,56,44,2,1
261,Sivasspor,Genclerbirligi,15,7,6,2,75,71,57,43,2,4,21,18,54,46,1,0
262,Karabukspor,Bursaspor,17,15,5,8,73,76,31,69,7,8,13,19,46,54,3,2
